paper,printed_page,table,statistic,exact_source_definition,universe,weighting,exclusions,band_resolution,usable_for,compatibility_assessment
NJL1985,493,T3,"means, SDs, skewnesses of line-item and dollar-unit taints","line-item columns repeat JLN T12; dollar-unit columns weight by book amount (fn.1 p489)","taint universe, same 20 audits","line-item: design weights; dollar-unit: book-amount times design weights","same as JLN T11/T12","pooled per audit","mu_D, sd_D -> E_$[tau^2|err]; rho_$","compatible with JLN T12 (same records, same exclusions); denominator convention unstated"
NJL1985,494,T4,"median taint by book amount, positive taints (small/large)","positive line-item taints divided into two subgroups by book amount, each with approximately the same number of line items; exact division not possible because of weighting (p493-494)","positive taints only, taint universe","design weights (line-item medians)","zero/negative-book excluded; negative taints excluded","two halves OF ERRONEOUS ITEMS (positive taints); boundaries unpublished","none for this task","INCOMPATIBLE with JLN T7: different partition (halves of erroneous items vs thirds of all items), medians not second moments, positive taints only"
NJL1985,495,T5,"median taint by book amount, negative taints (small/large)","as T4 for negative taints","negative taints only","design weights","as T4","two halves of negative-taint items","none","INCOMPATIBLE with JLN T7 for the same reasons as T4"
NJL1985,496,T6,"definitions of line-item and dollar-unit error rates","line-item rate = number of line items in error / total line items; dollar-unit rate = total book amount of line items containing errors / total book amount of all line items","illustrative","-","-","-","establishes R = E[aI]/E[a] exactly as the task's definition","definition compatible; but per-audit values are NOT published"
NJL1985,497,T7,"distributions of dollar-unit error rates","frequency distribution across 55 receivables and 26 inventory audits; medians .040 (AR) and .186 (INV); quartiles","81 audits with errors","book-amount times design weights","-","audit-wide; distribution across audits only","none: per-audit R not printed","R is NOT available per audit; only class medians/quartiles over the 81 audits, which are not the 20 selected audits"
NJL1985,498,T8,"proportion of overstatement dollar-unit taints","distribution across audits","81 audits","dollar-unit","-","across audits","none","not relevant to the condition"
RKS1979,88-95,App.A T9-T12,"F, FOV, CON per population (97 populations)","F = sum_i W_i F_i, W_i = N_i/N, F_i = e_i/n_i (p75); FOV = overstatement fraction; CON = fraction of errors with |Y-X|/|X| > 1","97 PMM populations (audits 22 and 80 of the JLN 20 are absent); all detected errors","N_i/N stratum weights","none; negative book values counted (BV<0 column)","audit-wide","F cross-check; BV<0 counts identify audits whose taint universe differs from the error-amount universe","line-item F agrees with JLN T6 for 17 of 18 shared audits (24 discrepant); no dollar-unit rate; no taint statistic"
RKS1979,96-99,T13-T16,"per-stratum N, n, error rate for populations 10, 11, 93, 94","eleven book-value strata plus certainty stratum split into strata 0 and 11 by sign","four example populations (11 is among the JLN 20)","stratum rates","-","11 strata; boundaries not printed","band-level occurrence for audit 11 only","no severity statistic by stratum in any PMM paper; RM is scaled to audit value, not book value; not usable for the band test"
RKS1979,86,T7-T8,"slope of log RM on log |X| (RM = |Y-X|/|X|)","relative magnitude scaled to AUDIT value (fn.10 p81 notes this differs from dollar-unit tainting); regressions over erroneous items with RM<=1 and RM>1 separately","50 populations with >=10 errors","unweighted regression","zero audit values excluded from RM>1 regressions","continuous in audit value","none","INCOMPATIBLE: not a taint, not a squared moment, conditioned on audit value; must not substitute for E[tau^2|a]"
NL1975,-,-,"four non-PMM populations","separate AICPA study of four populations (Neter and Loebbecke 1975)","not PMM","-","-","-","none","excluded: different data family; task forbids mixing families"
